,VCCS Course,VCCS Description,VT Course Code,VT Course Title,VT Description
56,CST 228 WRITING ACROSS MEDIA,"Provides instruction in writing and reporting techniques within various professional media fields, to include public relations, advertising, print, broadcast, and online journalism. Focuses on information gathering, developing appropriate and accurate stories, journalistic storytelling, grammar, Associated Press Style, and knowledge of current affairs.",COMM 2024,MEDIA WRITING,"Writing and information gathering skills including news, features, press releases, and advertising copy for broadcast, print and public relations media. Sophomore Standing Required."
57,CST 229 INTERCULTURAL COMMUNICATION,Explores human communication across cultural contexts and introduces the study of intercultural communication.  Prepares students to communicate effectively within an increasingly multicultural world and globalized era.  Develops understanding and analytical skills regarding communication across cultural contexts.,HUM 3204,MULTICULTURAL COMMUNICATION,"Exploration of communication in and among various cultural groups through an examination of communicative practices, registers, discourse, and performance.  Emphasis on understanding cultural differences and similarities in the different styles and stances in communication and their meanings to participants."
58,CST 231 HISTORY OF THEATRE I,"Analyzes and studies theatre history to include architecture, performers and performance, playwrights, stage, production methods, and audience from the Greeks through modern drama. Part I of II.",TA 2014,INTRODUCTION TO THEATRE,"Appreciation and understanding of theatre as a living, collaborative art form through historical and intercultural perspectives, readings of key texts and analysis of scripts, and explorations of all elements of the theater making process, including playwriting, directing, acting, and design."
59,CST 237 MOVEMENT I,Introduces the basic techniques and theories of stage movement for the purpose of creating truthful physical behavior in the theatre. Part I of II.,TA 2144,FOUNDATIONS OF MOVEMENT AND VOICE,"An introduction to the process of acting, through a variety of laboratory experiences, beginning with basic performance skills and culminating in the performance experience. Emphasis is on various methods of performance style and analysis, theater movement and body conditioning, and vocal awareness and production.  Limited to Theatre & Cinema Majors."
60,CST 245 BASIC STAGE LIGHTING,"Provides students with a basic understanding of the principles, methods and materials of stage lighting. Instructs students in the fundamentals of stage lighting such as: functions and qualities of light, foundational principles and methods of lighting design, components of lighting instruments and equipment, basic electricity, light board operation, and safety protocol and procedures.",TA 3134,INTERMEDIATE LIGHTING DESIGN,Rotating topics in lighting design and technology.  Designed for advanced theatre arts majors who have foundational training in all areas of theatre arts.  May be repeated for credit.  (Variable credit)
61,CST 258 SCENIC DESIGN,"Introduces students to the basics of theatrical scene design including script analysis, theory, research, visual creation and presentation, construction techniques, budgeting and scope, collaboration and the importance of historical periods in art and architecture.",TA 2164,SCENE DESIGN LAB,"An introduction to the processes, technologies, and aesthetics of scene design for theatrical productions and analysis of playscripts. Students develop workshop drawing, conceptual design and vision, and collaborative skills related to scene design, and exploration is focused in historical and contemporary theatre practice. A range of design problems will offer opportunity to learn various design approaches and provide practice with different media and means of design expression. Design Lab."
62,DAN 121 DANCE APPRECIATION,"Explores the language of dance through an introduction to basic elements, forms, and diverse styles across time. Develops techniques for observing dance analytically and critically.",DANC 2014,INTRODUCTION TO DANCE HISTORY,"Survey of dance history as an art form with global scope. Language of dance criticism and dance writing practices. International dance forms and the emergence and development of 20th and 21st century modern and post-modern concert dance in the United States from the confluence of European folk and court dances, ballet, African and Caribbean influences, and other American cultural dynamics. Emphasis on ethical and aesthetic modes of viewing dance performance with attention to issues of gender and sexuality, race and ethnicity, ability, class, and identity."
63,DAN 200 HISTORY OF MODERN DANCE,"Explores the origin and development of modern dance, with concentration on American choreographers Doris Humphrey, Isadora Duncan and Martha Graham. Studies the cultural, intellectual and physical influences on the development of different techniques and movement theories as well as modern dance companies.",DANC 2014,INTRODUCTION TO DANCE HISTORY,"Survey of dance history as an art form with global scope. Language of dance criticism and dance writing practices. International dance forms and the emergence and development of 20th and 21st century modern and post-modern concert dance in the United States from the confluence of European folk and court dances, ballet, African and Caribbean influences, and other American cultural dynamics. Emphasis on ethical and aesthetic modes of viewing dance performance with attention to issues of gender and sexuality, race and ethnicity, ability, class, and identity."
64,ECO 201 PRINCIPLES OF MACROECONOMICS,"Presents the fundamental macroeconomic concepts, theories, and issues including the study of scarcity and opportunity cost, supply and demand, national economic growth, inflation, recession, unemployment, fiscal and monetary policies, and international trade. Develops an appreciation of how these economic concepts apply to consumer, business, and government decisions, and their effect on the overall economy. This is a Passport and UCGS transfer course.",ECON 2006,PRINCIPLES OF ECONOMICS,"2005: Introduction to microeconomics. The economic approach to decision-making. Model of supply and demand. Elasticities.  Consumer behavior. Firm behavior under varying industry structures. Sources and consequences of market failure. Costs and benefits of international trade. The role of government in the economy. Economic, ethical, and social ramifications of issues such as pollution, missing information, and income inequality.
2006: Introduction to macroeconomics. The measurement of economic activity. Macroeconomic problems (such as unemployment and inflation). The monetary system. Effects and limitations of monetary and fiscal policies. International economics. Social and ethical issues related to macroeconomic policy."
65,ECO 202 PRINCIPLES OF MICROECONOMICS,"Presents the fundamental microeconomic concepts, theories, and issues including the study of scarcity and opportunity cost, supply and demand, elasticities, marginal revenues and costs, profits, production and distribution. Develops an appreciation of how these economic concepts apply to consumer and business decisions, and their effect on the individual. This is a Passport and UCGS transfer course.",ECON 2005,PRINCIPLES OF ECONOMICS,"2005: Introduction to microeconomics. The economic approach to decision-making. Model of supply and demand. Elasticities.  Consumer behavior. Firm behavior under varying industry structures. Sources and consequences of market failure. Costs and benefits of international trade. The role of government in the economy. Economic, ethical, and social ramifications of issues such as pollution, missing information, and income inequality.
2006: Introduction to macroeconomics. The measurement of economic activity. Macroeconomic problems (such as unemployment and inflation). The monetary system. Effects and limitations of monetary and fiscal policies. International economics. Social and ethical issues related to macroeconomic policy."
66,EDU 200 FOUNDATIONS OF EDUCATION,"Explores the foundational topics related to education. Emphasizes the historical, philosophical, social, legal, ethical, and professional aspects of teaching. This course requires a practicum with a minimum of 20 hours of observation in a K-12 setting.",EDCI 2004,EXPLORING THE TEACHING PROFESSION - FIELD STUDIES IN EDUCATION,"Experiential learning,10 hours per week, in a classroom setting, public or private, exposing students to knowledge, skills, and dispositions of professional educators. Allows for integration of experiential and course-based learning in professional identity formation and classroom management. Introduces students to concepts and terminology necessary for upperlevel educator preparation courses."
67,EDU 250 FOUNDATIONS OF EXCEPTIONAL EDUCATION,"Explores the historical, ethical, social, cultural, and legal practices for providing educational services for individuals with exceptionalities including early intervention, inclusion, adapting environments, and supporting positive behavior.  Includes the study of characteristics of individuals with exceptionalities and the influence of culture and environment on development. Focuses on models, theories, and trends in special education.",EDCI 3144,EDUCATION OF EXCEPTIONAL LEARNERS,"Introduction to the historical, ethical, legal, and economic models relevant to understanding students with disabilities and meeting their needs to increase their potential for success throughout their lives. Addresses research in early intervention, K-12 instruction, post-secondary education, and transition into work settings."
68,EDU 254 TEACHING BASIC ACADEMIC SKILLS TO EXCEPTIONAL CHILDREN,"Develops competencies required to teach readiness and basic skills to children with special needs in private or public school settings. Includes the preparation of lesson plans, instructional units, and individualized Education Programs (IEP's). Includes child abuse recognition and intervention training. Emphasizes exceptionalities for students ages 2-21 under Public Law 94-142. Familiarizes students with the indicators of effective teaching.",EDCI 3144,EDUCATION OF EXCEPTIONAL LEARNERS,"Introduction to the historical, ethical, legal, and economic models relevant to understanding students with disabilities and meeting their needs to increase their potential for success throughout their lives. Addresses research in early intervention, K-12 instruction, post-secondary education, and transition into work settings."
69,EGR 121 FOUNDATIONS OF ENGINEERING,"Introduces the engineering profession and its impact on society and the environment, including engineering problem solving, the engineering design process, and professional practices.  Covers fundamental engineering calculations, descriptive statistics, basic spreadsheet and mathematical scripting language applications, professional ethics, teamwork, and communication",ENGE 1215,FOUNDATIONS OF ENGINEERING,"A ﬁrst-year sequence to introduce general engineering students to the profession. 1215 (2 credit) Engineering problem-solving, contemporary programming tools, professional practices and expectations (e.g. effective communication, time management, working in teams, ethics), the diversity of ﬁelds and majors within engineering, and reflective and corrective practices. 1216 (2 credits): Engineering design, criteria and constraints, data collection and analysis, testing and iteration of design solutions, contemporary CAD tools, professional practices and expectations (e.g. communication, teamwork, ethics), and reflective and corrective practices. Students must complete both ENGE 1215 and ENGE 1216 to earn Pathways credit. 1215: Design Lab/Studio, 1216: Design Lab/Studio. Duplicates ENGE 1414 ."
70,EGR 140 ENGINEERING MECHANICS - STATICS,"Introduces mechanics of vector forces and space, scalar mass and time, including S.I. and U.S. customary units. Teaches equilibrium, free-body diagrams, moments, couples, distributed forces, centroids, moments of inertia analysis of two- force and multi-force members and friction and internal forces.",ESM 2104,STATICS,"Vector mechanics of forces and moments, free-body diagrams, couples, resultants, equilibrium of particles and rigid bodies in two and three dimensions, forces in trusses, frames, and machines, centroids, centers of mass, distributed forces, internal shear forces and bending moments in beams, shear and moment diagrams, friction, belt friction, area of moments of inertia, parallel axis theorem."
71,EGR 231 MASS AND ENERGY BALANCES,"Introduces the field of chemical engineering and how material and energy balances are applied to chemical processes, and physical and thermodynamic properties of multi-component systems.",CHE 2114,MASS AND ENERGY BALANCES,"Stoichiometric and composition relationships, behavior of gases, vapor pressures, solubility, mass balances, recycling operations, energy balances, first law of thermodynamics, thermophysics, thermochemistry, fuels and combustion, application to chemical operations."
72,EGR 232 CHEMICAL ENGINEERING THERMODYNAMICS,"Introduces the first and second laws of thermodynamics.  Examines energy conservation; concepts of equilibrium, temperature, energy, and entropy; partial molar properties; pure component and mixture equations of state; processes involving energy transfer as work and heat; reversibility and irreversibility; and closed and open systems and cyclic processes.",CHE 2164,CHEMICAL ENGINEERING THERMODYNAMICS,"First and Second Laws, properties of fluids, properties of homogeneous mixtures; phase equilibria, chemical-reaction equilibria. Grade of C- or better required in prerequisite CHE 2114 ."
73,EGR 240 STATICS,"Introduces basic concepts of engineering mechanics, systems of forces and couples, equilibrium of particles and rigid bodies, and internal forces and analysis of structures, including SI and U.S. customary units. Includes trusses, frames, machines, beams, distributed forces, friction, and centroids.",ESM 2104,STATICS,"Vector mechanics of forces and moments, free-body diagrams, couples, resultants, equilibrium of particles and rigid bodies in two and three dimensions, forces in trusses, frames, and machines, centroids, centers of mass, distributed forces, internal shear forces and bending moments in beams, shear and moment diagrams, friction, belt friction, area of moments of inertia, parallel axis theorem."
74,EGR 245 DYNAMICS,"Presents approach to kinematics and kinetics of particles (and systems of particles) in linear and curvilinear motion. Includes kinematics and kinetics of rigid bodies in plane motion.  Teaches Newton's second law, work-energy, and impulse-momentum methods.",ESM 2304,DYNAMICS,"Vector treatment of the kinematics and kinetics of particles and rigid bodies, Newtons laws, work and energy, impulse and momentum, impact, mass moments of inertia, rotating axes."
75,EGR 246 MECHANICS OF MATERIALS,"Introduces concepts of stress, strain, deformation, internal equilibrium, and basic properties of engineering materials. Analyzes axial loads, torsion, bending, shear and combined loading. Studies stress transformation, principal stresses, and buckling.",ESM 2204,MECHANICS OF DEFORMABLE BODIES,"Concepts of stress, strain, and deformation.  Factor of safety.  Stress-strain relationships and material properties.  Stress concentrations.  Area moments of inertia.  Axially loaded members, torsionally loaded members, bending of beams.  Shear and moment diagrams. Stresses due to combined loading.  Thin-walled pressure vessels.  Transformation of stress including Mohrs circle. Beam deflections and buckling stability."
76,EGR 260 CIRCUIT ANALYSIS,"Covers topics in linear circuit analysis, including basic electrical properties, resistive circuits, network equations, operational amplifiers, network reduction techniques, network theorems, two-port parameters and networks, inductors, capacitors, first-order circuits, second-order circuits and phasor analysis.",ECE 3054,ELECTRICAL THEORY,"For students in curricula other than ECE or ME. Fundamentals of electric circuits and electronic devices. Fundamentals of electric circuits: circuit laws and network theorems, operational amplifiers, energy storage elements, response of first (Resistive-Inductive RL, and Resistive Capacitive RC) and second order (Resistive-Inductive-Capacitive RLC) systems, Alternating Current (AC) steady state analysis. Basic electronic devices: Diodes and Transistors."
77,EGR 280 FOUNDATIONS OF ENVIRONMENTAL ENGINEERING,"Provides an introduction to the concepts of environmental engineering including air pollution, water pollution, water treatment, waste management, and health risk assessment. Examines sustainability and global climate change in the context of contemporary environmental engineering.",CEE 3104,INTRODUCTION TO ENVIRONMENTAL ENGINEERING,"Overall view of environmental engineering with emphasis on hazardous waste management, water treatment, wastewater treatment, air pollution and its control, solid waste management, groundwater pollution and environmental regulations."
78,ENG 111 COLLEGE COMPOSITION I,"Introduces and prepares students to the critical processes and fundamentals of writing in academic and professional contexts. Teaches the use of print and digital technologies to promote inquiry. Requires the production of a variety of academic texts, totaling at least 4500 words (15 pages typed) of polished writing. This course requires proficiency in using word processing and learning management software. This is a Passport and UCGS transfer course.",ENGL 1105,FIRST YEAR WRITING,"1105: Introduction to rhetorical analysis, visual rhetoric, critical writing, and critical thinking; intensive reading of works in multiple genres; practice in writing and revision; fundamentals of oral presentations. 1106: Continued study in rhetorical analysis and the conventions of various genres; intensive instruction in writing and revision of work that incorporates research; experience in oral presentations."
79,ENG 112 COLLEGE COMPOSITION II,"Further develops students' ability to write for academic and professional contexts with increased emphasis on argumentation and research. Requires students to evaluate, integrate, and document print and digital sources to produce a range of academic and multimodal texts, culminating in a fully documented research paper. This course requires proficiency in using word processing and learning management software. This is a UCGS transfer course.",ENGL 1106,FIRST YEAR WRITING,"1105: Introduction to rhetorical analysis, visual rhetoric, critical writing, and critical thinking; intensive reading of works in multiple genres; practice in writing and revision; fundamentals of oral presentations. 1106: Continued study in rhetorical analysis and the conventions of various genres; intensive instruction in writing and revision of work that incorporates research; experience in oral presentations."
80,ENG 200 INTRODUCTION TO LINGUISTICS,"Introduces the scientific study of language. Focuses on brain and language, phonetics, phonology, morphology, syntax, semantics and pragmatics, and first and second language acquisition.",ENGL 1504,INTRODUCTION TO CONTEMPORARY LINGUSTICS,"Introduction to the sounds of language, processes by which words and sentences are formed, how the meanings of words are established by context, and why languages vary and change over time."
81,ENG 211 CREATIVE WRITING I,"Explores fundamentals of writing imaginatively in genres such as poetry, fiction, drama, and essays. Examines terminology and techniques through readings about the craft of creative writing and model texts and provides students the opportunity to apply these techniques in their own writing. Requires students to develop and revise original work through peer and instructor feedback.",ENGL 2744,INTRODUCTION TO CREATIVE WRITING,"A workshop for beginning writers who will identify and apply formal elements of a variety of genres and employ the skills, tools, methods, and iterative processes used by creative writers to produce fully developed works of art."
82,ENG 212 CREATIVE WRITING II,"Introduces the student to the fundamentals of writing imaginatively. Students write in forms to be selected from poetry, fiction, drama, and essays. Part II of II.",ENGL 2744,INTRO TO CREATIVE WRITING,"A workshop for beginning writers who will identify and apply formal elements of a variety of genres and employ the skills, tools, methods, and iterative processes used by creative writers to produce fully developed works of art."
83,ENG 236 INTRODUCTION TO THE SHORT STORY,"Examines the complexity of the human experience through short stories across a diverse range of cultures and traditions. Develops skills in close reading, writing, research, interpretation, and comparative analysis.",ENGL 1614,INTRODUCTION TO SHORT FICTION,"Analysis of short fiction and novellas from different historical periods and cultures. Emphasis on the structural elements of fiction, on its flexibility as a form for exploring human desires, conflicts, and values, and on its employment by writers from different cultures, ethnicities, and genders."
84,ENG 237 INTRODUCTION TO POETRY,"Examines selected poetry, emphasizing the history of the genre. Involves critical reading and writing.",ENGL 1604,INTRODUCTION TO POETRY,"Examination of poetry across historical periods, cultural contexts, and geographical areas. Emphasis on poetic forms and conventions, elements of poetic technique, poetic genres, and the vocabulary of poetic craft."
85,ENG 241 SURVEY OF AMERICAN LITERATURE I,"Examines American literary works from colonial times to the present, emphasizing the ideas and characteristics of our national literature. Involves critical reading and writing. Part I of II.",ENGL 2534,AMERICAN LITERARY HISTORY,"Introduction to American literary traditions, from the Colonial period through Modernism. Emphases on historical, social, and cultural contexts as these are reflected by representative texts."
86,ENG 242 SURVEY OF AMERICAN LITERATURE II,"Examines American literary works from colonial times to the present, emphasizing the ideas and characteristics of our national literature. Involves critical reading and writing.Part II of II.",ENGL 2534,AMERICAN LITERARY HISTORY,"Introduction to American literary traditions, from the Colonial period through Modernism. Emphases on historical, social, and cultural contexts as these are reflected by representative texts."
87,ENG 243 SURVEY OF ENGLISH LITERATURE I,"Studies major English works from the Anglo-Saxon period to the present, emphasizing ideas and characteristics of the British literary tradition. Involves critical reading and writing. Part I of II.",ENGL 2544,BRITISH LITERARY HISTORY,"Introduction to British literary traditions, from the Anglo-Saxon period through Modernism. Emphasis on historical, social, and cultural contexts as these are reflected by representative texts."
88,ENG 244 SURVEY OF ENGLISH LITERATURE II,"Studies major English works from the Anglo-Saxon period to the present, emphasizing ideas and characteristics of the British literary tradition. Involves critical reading and writing. Part II of II.",ENGL 2544,BRITISH LITERARY HISTORY,"Introduction to British literary traditions, from the Anglo-Saxon period through Modernism. Emphasis on historical, social, and cultural contexts as these are reflected by representative texts."
89,ENG 253 SURVEY OF AFRICAN-AMERICAN LITERATURE I,Examines selected works by Black American writers from the colonial period to the present. Involves critical reading and writing. Part I of II.,ENGL 2644,AFRICAN AMERICAN LITERATURE,"An introduction to the principal themes, genres, and historical contexts of African-American literature. Formal elements of both the vernacular and written traditions. Impact of historical and social contexts. Ethical questions raised in the literature."
90,ENG 254 SURVEY OF AFRICAN-AMERICAN LITERATURE II,Examines selected works by Black American writers from the colonial period to the present. Involves critical reading and writing. Part II of II.,ENGL 2644,AFRICAN AMERICAN LITERATURE,"An introduction to the principal themes, genres, and historical contexts of African-American literature. Formal elements of both the vernacular and written traditions. Impact of historical and social contexts. Ethical questions raised in the literature."
91,ENG 255 WORLD LITERATURE,"Examines literary texts across a variety of cultures, genres, and time periods. Develops critical thinking and interpretive skills through close reading, discussion, and analysis of literary texts from around the world in their historical, cultural, social, and/or literary contexts. This is a UCGS transfer course.",ENGL 1644,INTRODUCTION TO WORLD LITERATURE,"World literature in translation. Texts from different time periods, nations, and cultures. Emphasis on close reading, literary elements and conventions, recurring themes, historical and cultural contexts."
92,ENG 256 LITERATURE OF SCIENCE FICTION,"Examines the literary and social aspects of science fiction, emphasizing development of ideas and techniques through the history of the genre. Involves critical reading and writing.",ENGL 1654,INTRODUCTION TO SCIENCE FICTION,"Introduction of literary works within the genres of science fiction and fantasy, focusing on the development and principal characteristics of each genre. Emphasis on the social, cultural, and historical contexts in which particular speculative texts have been produced."
93,ENG 257 MYTHOLOGICAL LITERATURE,"Studies a variety of mythological works of literature, along with an examination of the allegorical and metaphorical themes within each work, and an understanding of figurative language, symbology and mythical allusions.",CLA 2444,ANCIENT GREEK & ROMAN MYTH,"Surveys ancient Greek and Roman mythology.  Provides students with an introduction to selected myths from ancient Greek and Roman literature, including appropriate historical background information.  Familiarizes students with how theories of myth have been applied to individual stories and how such mythological tales have been received by authors and artists in subsequent cultures.  Explores the interaction and interdependence of mythological tales from different cultures and perspectives.  In English."
94,ENG 258 AFRICAN AMERICAN LITERATURE,"Explores the stories African American authors tell about themselves, their communities, and the world. Examines common and diverging themes within African American literary traditions through the study of diverse authors, genres, and literary movements from a variety of time periods. Emphasizes interpretive and critical analysis skills developed through close reading and consideration of historical and cultural contexts. This is a UCGS transfer course.",ENGL 2644,INTRODUCTION TO AFRICAN AMERICAN LITERATURE,"An introduction to the principal themes, genres, and historical contexts of African-American literature. Formal elements of both the vernacular and written traditions. Impact of historical and social contexts. Ethical questions raised in the literature."
95,ENG 260 FANTASY FICTION,"Examines the literary and social aspects of fantasy fiction, emphasizing development of ideas and techniques through the history of the genre.  Involves critical reading and writing.",ENGL 1654,INTRODUCTION TO SCIENCE FICTION AND FANTASY,"Introduction of literary works within the genres of science fiction and fantasy, focusing on the development and principal characteristics of each genre. Emphasis on the social, cultural, and historical contexts in which particular speculative texts have been produced."
96,ENG 261 ADVANCED CREATIVE WRITING I,Guides the student in imaginative writing in selected genres on an advanced level. Part I of II.,ENGL 2744,INTRODUCTION TO CREATIVE WRITING,"A workshop for beginning writers who will identify and apply formal elements of a variety of genres and employ the skills, tools, methods, and iterative processes used by creative writers to produce fully developed works of art."
97,ENG 262 ADVANCED CREATIVE WRITING II,Guides the student in imaginative writing in selected genres on an advanced level.  Part II of II.,ENGL 2744,INTRODUCTION TO CREATIVE WRITING,"A workshop for beginning writers who will identify and apply formal elements of a variety of genres and employ the skills, tools, methods, and iterative processes used by creative writers to produce fully developed works of art."
98,ENG 270 NON-WESTERN LITERATURE IN GLOBAL CONTEXT,"Covers non-western popular culture, written texts, film and mythology through the lens of comparative literature and the shifting horizons brought on by dynamic changes in global social and cultural values.",ENGL 1644,INTRODUCTION TO WORLD LITERATURE,"World literature in translation. Texts from different time periods, nations, and cultures. Emphasis on close reading, literary elements and conventions, recurring themes, historical and cultural contexts."
99,ENG 271 THE WORKS OF SHAKESPEARE I,Examines selected works of Shakespeare. Involves critical reading and writing. Part I of II.,ENGL 1634,INTRODUCTION TO SHAKESPEARE,"Introduction to Shakespeares drama and poetry, including at least one modern adaptation of a Shakespearean play (play, novel, movie, opera, etc.). Emphasis on the structural elements and conventions of the different genres of Shakespearean plays and poetry and on their representations of gender and ethnicity."
100,ENG 273 WOMEN IN LITERATURE I,Examines literature by and about women. Involves critical reading and writing. Part I of II.,ENGL 1664,INTRODUCTION TO WOMEN'S LITERATURE,"Introduction to literature written by women, primarily in English. Focus on literary and cultural questions raised in womens writing throughout history and from different social and cultural backgrounds."
101,ENG 274 WOMEN IN LITERATURE II,Examines literature by and about women. Involves critical reading and writing. Part II of II.,ENGL 1664,INTRODUCTION TO WOMEN'S LITERATURE,"Introduction to literature written by women, primarily in English. Focus on literary and cultural questions raised in womens writing throughout history and from different social and cultural backgrounds."
102,ENG 275 WOMEN IN LITERATURE,"Examines literary texts by women writers from diverse time periods, genres, and authors.  Develops skills of close reading and literary analysis through analysis of texts within their historical, cultural, social, and/or literary contexts. Explores how women's experiences have shaped their literary contributions, the cultural forces affecting their lives, and how they have used writing to shape their cultures. This is a UCGS transfer course.",ENGL 1664,INTRODUCTION TO WOMEN'S LITERATURE,"Introduction to literature written by women, primarily in English. Focus on literary and cultural questions raised in womens writing throughout history and from different social and cultural backgrounds."
103,FOR 102 FOREST PROTECTION,"Emphasizes fire control, smoke management, timber theft, major forest pests and diseases, exotic and invasive species, and other threats to forest health.  Includes optional test for red or green card certification and a non-commercial pesticide applicator's license.  Lecture 1 hour  Laboratory 4 hours  Total 5 hours per week.",FREC 2514,WILDLAND FIRE: ECOLOGY AND MANAGEMENT,"Provide students with basic knowledge on how: fire has an impact on forest environments; the environment and weather influence fire behavior; wildland fires are suppressed; and fire is used as a land and vegetation management tool. The course will also provide students with the knowledge and training to qualify as a basic wildland firefighter (FFT2-Red Card). Extended laboratory sessions will provide practice in fire behavior prediction, prescribed burning techniques, and fire control methodology. COURSE FEE: $110."
104,FOR 205 FOREST MAPPING,"Introduces GIS applications for Forest Management. Provides experience in creating, updating, managing, correcting geographic databases, and maps.  Emphasizes adherence to legal and ethical criteria of GIS applications in Forestry.",FREC 1004,DIGITAL PLANET,"Exploration of innovative geospatial technologies and their impact on the world around us, including how humans interact with the environment and each other. Roles of location-based services, global positioning systems, geographic information systems, remote sensing, virtual globes and web based mapping for environmental applications. Skills and techniques for spatial thinking and environmental decision-making. Ethical implications of the use of geospatial technologies, data, and computational approaches."
105,FOR 265 URBAN FORESTRY,"Examines the care, maintenance, establishment and management of trees and related plants in an urban environment. Emphasizes non-commodity values of trees in an urban environment.",FREC 2134 + FREC 2254,PLANTS AND GREENSPACES IN URBAN COMMUNITIES + ARBORICULTURE FIELD SKILLS,"Modern concepts of sustainability changing plant use in urban settings.  Fundamentals of urban plant systems in the context of urban ecosystem management.  Philosophy and critical analysis of sustainability related to green infrastructure, including urban forests, green roofs, urban soils, urban wildlife, urban agriculture, and innovations merging plant and ecosystem functions with building and site engineering.  Multi-disciplinary emphasis at site, regional, and global, scales. | Field observation, discussion, and practice of skills employed in the management of urban landscape trees. Hands-on experience with tree pruning, removal, pest control, fertilization, cabling/bracing, lightning protection, and climbing. Emphasis on arborist safety, professional ethics, and best management practices. Guest instruction provided in part by professionals working in the tree care industry."
106,FRE 201 INTERMEDIATE FRENCH I,"Continues to develop cultural awareness, listening, speaking, reading, and writing skills, and introduces complex sentence structures. Classes may be conducted in target language. Part I of II. This is a UCGS transfer course.",FR 2105,INTERMEDIATE FRENCH,"Emphasizes comprehension of written and  spoken  French, communication  in  French,  literature, and  culture  of French-speaking world."
107,FRE 202 INTERMEDIATE FRENCH II,"Continues to develop cultural awareness, listening, speaking, reading, and writing skills, and emphasizes complex sentence structures. Classes may be conducted in the target language. Part II of II. This is a UCGS transfer course.",FR 2106,INTERMEDIATE FRENCH,"Emphasizes comprehension of written and  spoken  French, communication  in  French,  literature, and  culture  of French-speaking world."
108,FRE 225 LITERATURE OF FRANCOPHONE COMMUNITIES,"Reviews selected French and Francophone literary and cultural expressions and equips students with the tools and methodologies to critically analyze a variety of genres. Identify and discuss themes, topics, structures, and literary techniques used to represent the shared experiences of French and Francophone cultures in the target language.",FR 3304,INTRODUCTION TO FRENCH LITERATURE,"Introduction to French literature through analysis and discussion of selected texts from different periods and genres.  Methods, terminology, and practice of literary analysis.  Intensive writing component."
109,GEO 200 INTRODUCTION TO PHYSICAL GEOGRAPHY,"Examines the global patterns and processes of the atmosphere, biosphere, lithosphere, and hydrosphere. Explores Earth?s physical systems and the interrelationships among them through studying Earth-Sun geometry, climate and weather phenomena, landforms, biomes, and environmental change.",GEOG 1104,INTRODUCTION TO PHYSICAL GEOGRAPHY,"An integrated survey of the field of physical and environmental geography. A study of the natural processes and human activities that shape earth systems, including the atmosphere, hydrosphere, biosphere, and lithosphere through application of the principles and techniques of geographic scientific inquiry. Analysis of the reciprocal impact of science and society while addressing significant global challenges and opportunities in the natural and human world. Interpretation of intercultural experiences with respect to environmental challenges from one’s own and another’s worldview. Analysis and interpretation of spatial patterns pertaining to earth systems from photographs, maps, and imagery."
110,GEO 210 PEOPLE AND THE LAND: INTRO TO CULTURAL GEOGRAPHY,"Provides an introduction to themes in human geography and the ways in which human geographers study spatial relationships in the world. Emphasizes geospatial tools and concepts to examine global patterns of human demographics, culture, geopolitics, and economic and environmental interdependence through introduction to a broad range of subject matter. This is a Passport and UCGS transfer course.",GEOG 1004,INTRODUCTION TO HUMAN GEOGRAPHY,"Introduction to geography as a social science. Development of a conceptual framework for studying and evaluating human-environment relationships. Through examination of selected regional and global issues and through exploring basic concepts like regions, place, location, human-environment interaction, movement, and accessibility, students will discover how power is spatially expressed and explore how culture shapes the production of space and vice versa. Students will also discover and describe how ethical issues manifest spatially."
111,GEO 220 WORLD REGIONAL GEOGRAPHY,Examines similarities and differences among the world's major regions. Evaluates ways in which people and places interact across space and time to produce particular spatial and environmental patterns. Introduces the student to geographic tools such as maps. This is a Passport and UCGS transfer course.,GEOG 1014,WORLD REGIONS,"Human and physical patterns and characteristics of major regions of the world including political systems, religions, economies, and physical settings. Concepts and perspectives of geography as a social science; linkages and interdependence of nations and regions; analysis of media coverage of events or global issues; engagement with current and historical global affairs."
112,GEO 225 ECONOMIC GEOGRAPHY,"Introduces the subfield of human geography by focusing on the key interactions of people, space, and economics. Familiarizes students with economic, geographic, political and demographic factors that impact international target markets and trade activity.  Focuses on levels of development, urban areas, globalization, and international trade",GEOG 2134,GEOGRAPHY OF THE GLOBAL ECONOMY,"Geographical dimensions of the global economy since World War II.  Globalization and the emergence of a new international division of labor.  The relative decline of the United States and the growth of Japan, East Asia and the European Union.  Changing geographies of foreign direct investment location.  Places and regions in geo-economic discourse.  Population and resources issues in the early twenty-first century."
113,GER 201 INTERMEDIATE GERMAN I,"Continues to develop cultural awareness, listening, speaking, reading, and writing skills, and introduces complex sentence structures. Classes may be conducted in target language. Part I of II. This is a UCGS transfer course.",GER 2105,INTERMEDIATE GERMAN,"Review of grammar with increasing emphasis on reading, writing, and oral communication."
114,GER 202 INTERMEDIATE GERMAN II,"Continues to develop cultural awareness, listening, speaking, reading, and writing skills, and emphasizes complex sentence structures. Classes may be conducted in the target language. Part II of II. This is UCGS transfer course.",GER 2106,INTERMEDIATE GERMAN,"Review of grammar with increasing emphasis on reading, writing, and oral communication. I,II"
