Unnamed: 0,CCC Course,CCC Description,UCSC Course Code,UCSC Course Title,UCSC Description
113,PHILO 10H Honors Ethics,"Examines problems of good, evil, and various systems of ethics including human conduct in social, economic, and political activities using primary sources from works of Plato, Aristotle, Hume, Kant, and Mill. Topics include ideas of virtue, obligation, egoism, relativism, and foundations of morals. This honors course provides enhanced academic rigor with demands that exceed those of a standard version of the course.",PHIL 22,Introduction to Ethical Theory,A consideration of ethical issues and theories focusing on the foundation of moral value and the principles governing character and behavior. Designed to extend and develop the student's abilities in philosophical reasoning about ethics.
114,PHILO 10 Ethics,"Examines problems of good, evil, and various systems of ethics including human conduct in social, economic, and political activities using primary sources from works of Plato, Aristotle, Hume, Kant, and Mill. Topics include ideas of virtue, obligation, egoism, relativism, and foundations of morals.",PHIL 22,Introduction to Ethical Theory,A consideration of ethical issues and theories focusing on the foundation of moral value and the principles governing character and behavior. Designed to extend and develop the student's abilities in philosophical reasoning about ethics.
115,ACCT 1A Financial Accounting,"Teaches accounting concepts from the user's perspective. Covers the preparation, communication, use, and analysis of accounting information with an emphasis on accounting theory, critical thinking, and the use of accounting information in business decision-making.",ECON 10A,Economics of Accounting,"Introduces students to fundamental accounting principles and practices. Key topics include reviewing the accounting cycle, preparing basic financial statements, and integrating data analysis tools to interpret and analyze financial statement data. Course improves students' financial literacy skills by illustrating how financial statements are used by external parties such as bankers, creditors, investors, and others who have a desire and/or need to learn more about the financial information of business organizations."
116,ACCT 1B Managerial Accounting,"Teaches the managerial selection, use, planning, and analysis of accounting information to direct and control operations. Includes cost terminology and concepts, cost behavior, and cost structure. Covers cost accounting for manufacturing and service organizations, decision-making based upon accounting information, the evaluation of business segments, cost-volume-profit analysis, responsibility accounting, profit planning, standard cost systems, and variance analysis. Transfers to CSU; UC, with limits: ACCT 1A, ACCT 1B, and ACCT 51A combined: maximum credit-8 units.",ECON 10B,Economics of Accounting,"Foundation of accounting course providing students with the concepts, practices, and tools for analyzing, planning, and making managerial accounting decisions for the future with an emphasis on performance measurement using various data analysis tools. Key topics include product and service costing, management decision-making and analysis, planning and controlling processes, CVP analysis, budgeting, variance analysis, and segment reporting."
117,CIS 81 Introduction to Networks,"Introduces the architecture, functions, protocols, and components that connect users, devices, applications, and data through the Internet and across modern computer networks. Includes internet protocol (IP) addressing, Ethernet operations, principles of transmission control protocol (TCP) and user datagram protocol (UDP), and application protocols such as dynamic host configuration protocol (DHCP) and domain name system (DNS), to build simple local area networks (LANs) that integrate IP addressing schemes, foundational network security, and basic configurations for routers and switches. One of three courses that prepare students for the CCNA exam.",CSE 80N,Introduction to Networking and the Internet,"Introduction to the evolution, technological basis, and services of the Internet, with descriptions of its underlying communications structure, routing algorithms, peer-to-peer hierarchy, reliability, and packet switching. Network security, mail, multimedia and data compression issues, HTML, and digital images. Students who have completed CSE 150 cannot receive credit for this course. (Formerly Computer Engineering 80N.)"
118,BUS 5 Business Information Systems,"Introduces business information systems, the importance of business intelligence in maintaining competitive advantage, ethical issues in business intelligence, concepts of databases and data storage systems, supply chain information systems, customer relationship systems, enterprise resource planning systems, and concepts of eBusiness and wireless technology in business.",TIM 50,Business Information Systems,"Addresses the use of information systems (IS) within a business enterprise. Subjects include computer hardware and software concepts, system design and implementation, telecommunications, data management, transaction-based systems, management information systems, and the use of IS to compete. Intended for technology and information management and business management economics majors. (Formerly CSE 50.)"
119,CS 24 Elementary Computer Organization,"Introduces organization of computer systems, machine-level programming, and systems software. Includes processor organization, introduction to operating systems, and assembly language programming on microprocessors.",CSE 12,Computer Systems and Assembly Language and Lab,"Introduction to computer systems and assembly language and how computers compute in hardware and software. Topics include digital logic, number systems, data structures, compiling/assembly process, basics of the system software, and computer architecture. Course is"
120,CS 12P Python Introductory Programming Concepts and Methodology,"Presents an introduction to computer programming using Python, beginning with basic principles and progressing to object-oriented programs. Includes software life cycle, data types, variables, expressions, control structures, lists, file input/output, error handling, basic algorithms, classes, objects, and testing/debugging.",CSE 20,Beginning Programming in Python,"Provides students with Python programming skills and the ability to design programs and read Python code. Topics include data types, control flow, methods and advanced functions, built-in data structures, and introduction to OOP. No prior programming experience is required. Students may not receive credit for CSE 20 after receiving credit for CSE 30 . Students with prior programming experience (especially in Python) are encouraged to take CSE Testout Exam to be evaluated for their readiness to take CSE 30 directly: https://undergrad.soe.ucsc.edu/cse-20-testout-exam."
121,CIS 15 Python Programming for Everyone,"Teaches Python programming for non-programmers, working professionals, and the curious. No previous programming experience is required. Teaches the fundamental concepts and models of application development including the program design, data types, programming, problem-solving, logic, and design techniques for event-driven programs. Provides hands-on experience with a modern development environment that is perfect for beginners.",CSE 20,Beginning Programming in Python,"Provides students with Python programming skills and the ability to design programs and read Python code. Topics include data types, control flow, methods and advanced functions, built-in data structures, and introduction to OOP. No prior programming experience is required. Students may not receive credit for CSE 20 after receiving credit for CSE 30 . Students with prior programming experience (especially in Python) are encouraged to take CSE Testout Exam to be evaluated for their readiness to take CSE 30 directly: https://undergrad.soe.ucsc.edu/cse-20-testout-exam."
122,CS 19 C++ Programming,"Presents programming, documentation, and software design methodologies using C++. Assumes that students have been introduced to classes and objects, control structures, repetition, functions, and logical operators. Includes a brief review of functions, arrays, pointers and strings. New topics include classes, operator overloading, and inheritance. Prepares students for Introduction to Data Structures and Algorithms, and Discrete Mathematics.",CSE 13S,Computer Systems and C Programming,"Focuses on C programming, command line, shell programming, editors, debuggers, source code control, and other tools. Examines basic computer systems, algorithm design, and development, data types, and program structures. Develops understanding of process model, compile-link-execute build cycle, language-machine interface, memory, and data representation. Students cannot receive credit for both CSE 13S and CSE 13E. Course is"
123,CS 25 Computer Systems and C Programming,"Focuses on C programming, command line, shell programming, editors, debuggers, source code control, and other tools. Examines basic computer systems, algorithm design, and development, data types, and program structures. Develops understanding of process model, compile-link-execute build cycle, language-machine interface, memory, and data representation.",CSE 13S,Computer Systems and C Programming,"Focuses on C programming, command line, shell programming, editors, debuggers, source code control, and other tools. Examines basic computer systems, algorithm design, and development, data types, and program structures. Develops understanding of process model, compile-link-execute build cycle, language-machine interface, memory, and data representation. Students cannot receive credit for both CSE 13S and CSE 13E. Course is"
124,CS 20P Python Programming and Abstractions,"Presents programming, documentation, and software-design methodologies using Python. Includes a brief review of control structures, functions, and tuples/lists as students rapidly progress to object-oriented programs of moderate complexity and application. Advanced topics include: inheritance, duck-typed polymorphism, exceptions, and implementing dynamic data structures such as ordered dictionaries and graphs.",CSE 30,Programming Abstractions: Python,"Introduction to software development in Python focusing on structuring software in terms of objects endowed with primitive operations. Introduces concepts and techniques via a sequence of concrete case studies. Coursework consists of programming assignments and a final examination. Note that CSE 30 assumes some Python experience, students trained in a different language should self-study Python to prepare for CSE 30 . See CSE Testout Exam for resources and further information."
125,CS 21 Introduction to Data Structures and Algorithms,"Provides an introduction to data structures, algorithms, and software engineering techniques using the C++ or Java language. Presents the development of large programs including definition, implementation, analysis, use, and reuse of abstract data types and associated algorithms. Reviews and elaborates arrays, lists, queues, stacks, sets, trees, priority queues, heaps, tables, hashing, balanced trees, graphs, recursion, searching, and sorting.",CSE 30,Programming Abstractions: Python,"Introduction to software development in Python focusing on structuring software in terms of objects endowed with primitive operations. Introduces concepts and techniques via a sequence of concrete case studies. Coursework consists of programming assignments and a final examination. Note that CSE 30 assumes some Python experience, students trained in a different language should self-study Python to prepare for CSE 30 . See CSE Testout Exam for resources and further information."
126,CS 12GP Introduction to Programming Using Games and Simulations,"Presents an introduction to computer programming concepts and methodologies by developing games and simulations in the Java programming language. Topics include algorithms, data types, declarations, expressions, selection, repetition, methods, recursion, libraries, arrays, classes, objects, 2D graphics, animation, sound, files, and streams. Prepares students for C++ Programming or Java Programming.",CSE 5J,Introduction to Programming in Java,"Introduces programming in Java for students who have no prior programming experience. Students learn programming and documentation skills, as well as algorithmic problem-solving, and programming methodologies. Introduces computers, compilers, and editors. Students write small to medium-sized programs. This course and CSE 5C and CSE 5P cover similar concepts, but use different programming languages. Because CSE 5J followed by CSE 11 is a two-quarter alternative to the accelerated course CSE 12A and CSE 12L, engineering majors and students planning on continuing the programming sequence are encouraged to take CSE 5J rather than CSE 5C or CSE 5P. Students may not receive credit for CSE 5J taken concurrently or subsequently to CSE 12A, CSE 12B, or Computer Engineering 13. (Formerly CMPS 5J.)"
127,"CS 12J Introduction to Programming Concepts and Methodology, Java","Presents an introduction to computer programming using Java, beginning with basic principles and progressing to object-oriented programs and visual programming. Includes: algorithms, primitive and complex data types, declarations, expressions, selection, repetition, methods, recursion, libraries, arrays, classes, objects, encapsulation, components, events, files and streams.",CSE 5J,Introduction to Programming in Java,"Introduces programming in Java for students who have no prior programming experience. Students learn programming and documentation skills, as well as algorithmic problem-solving, and programming methodologies. Introduces computers, compilers, and editors. Students write small to medium-sized programs. This course and CSE 5C and CSE 5P cover similar concepts, but use different programming languages. Because CSE 5J followed by CSE 11 is a two-quarter alternative to the accelerated course CSE 12A and CSE 12L, engineering majors and students planning on continuing the programming sequence are encouraged to take CSE 5J rather than CSE 5C or CSE 5P. Students may not receive credit for CSE 5J taken concurrently or subsequently to CSE 12A, CSE 12B, or Computer Engineering 13. (Formerly CMPS 5J.)"
128,MATH 6 Introduction to Linear Algebra,"Introduces linear algebra, including vectors in n-dimensional R, matrices, row reductions, inverse matrices, determinants, vector spaces, basis, change of basis, linear independence, transformations, eigenvalues, eigenvectors, and the Gram-Schmidt process. May not be taken Pass/No Pass.",AM 10,Linear Algebra for Engineers,"Applications-oriented course on complex numbers and linear algebra integrating Matlab as a computational support tool. Introduction to complex algebra. Vectors, bases and transformations, matrix algebra, solutions of linear systems, inverses and determinants, eigenvalues and eigenvectors, and geometric transformations. Students cannot receive credit for this course and MATH 21 . (Formerly Mathematical Methods for Engineers I.)"
129,MATH 7 Introduction to Differential Equations,"Presents an introductory course in Differential Equations: first order, second order, homogeneous, nonhomogeneous, variation of parameters, applications, simple linear systems with constant coefficients, Laplace transforms, and power series solutions. May not be taken Pass/No Pass.",AM 20,Ordinary Differential Equations for Engineers,Applications-oriented class on ordinary differential equations (ODEs) and systems of ODEs using Matlab as a computational support tool. Covers linear ODEs and systems of linear ODEs; nonlinear ODEs using substitution and Laplace transforms; phase-plane analysis; introduction to numerical methods. Students cannot receive credit for this course and MATH 24 . (Formerly Mathematical Methods for Engineers II.)
130,PHYS 4A Physics for Scientists and Engineers I,"Covers classical mechanics, fluids, and waves for scientists and engineers. This is the first course in the calculus-based physics sequence.",PHYS 5A,Introduction to Physics I,"Elementary mechanics. Vectors, Newton's laws, inverse square force laws, work and energy, conservation of momentum and energy, and oscillations."
131,PHYS 4A Physics for Scientists and Engineers I,"Covers classical mechanics, fluids, and waves for scientists and engineers. This is the first course in the calculus-based physics sequence.",PHYS 5L,Introduction to Physics I Laboratory,Laboratory sequence illustrating topics covered in PHYS 5A and PHYS 15A . One three-hour laboratory session per week.
132,PHYS 4B Physics for Scientists and Engineers II,"Covers electricity and magnetism for scientists and engineers. This is the second course in the calculus-based physics sequence. Students enrolled in the Honors Transfer Program may count this course towards the ""Honors Scholar"" designation with an Honors Contract. Fall semester and alternating summers.",PHYS 5C,Introduction to Physics III,"Introduction to electricity and magnetism. Electromagnetic radiation, Maxwell's equations."
133,PHYS 4B Physics for Scientists and Engineers II,"Covers electricity and magnetism for scientists and engineers. This is the second course in the calculus-based physics sequence. Students enrolled in the Honors Transfer Program may count this course towards the ""Honors Scholar"" designation with an Honors Contract. Fall semester and alternating summers.",PHYS 5N,Introduction to Physics Laboratory III,Laboratory sequence illustrating topics covered in PHYS 5C and PHYS 15C . One three-hour laboratory session per week.
134,MATH 5C Analytic Geometry and Calculus III,"Presents vector-valued functions, calculus of functions of more than one variable, partial derivatives, multiple integrations, Green&#39;s Theorem, Stokes&#39;s Theorem, and the divergence theorem. Designed for majors in mathematics, engineering, and physical sciences. May not be taken pass/no pass.",AM 30,Multivariate Calculus for Engineers,"Advanced multivariate calculus for engineering majors. Coordinate systems, parametric curves, and surfaces; partial derivatives, gradient, Taylor expansion, stationary points, constrained optimization; integrals in multiple dimensions; integrals over curves and surfaces. Applications to engineering form an integral part of the course. Students cannot receive credit for this course and for MATH 22 or MATH 23A ."
135,ENGR 15 Circuits,"Analyzes the DC and AC electrical circuits containing resistors, capacitors, inductors, dependent sources, operational amplifiers, and/or switches. Basic circuit laws, network theorems, and computer analysis are used to solve DC steady-state circuits, RC, RL, and RLC DC transient circuits, and sinusoidal AC steady-state circuits. Power and energy analysis is performed throughout the course.",ECE 101,Introduction to Electronic Circuits,"Introduction to the physical basis and mathematical models of electrical components and circuits. Topics include circuit theorems (Thevenin and Norton Equivalents, Superposition), constant and sinusoidal inputs, natural and forced response of linear circuits. Introduction to circuit/network design, maximum power transfer, analog filters, and circuit analysis using Matlab. Topics in elementary electronics including amplifiers and feedback. (Formerly EE 101.)"
136,ENGR 15 Circuits,"Analyzes the DC and AC electrical circuits containing resistors, capacitors, inductors, dependent sources, operational amplifiers, and/or switches. Basic circuit laws, network theorems, and computer analysis are used to solve DC steady-state circuits, RC, RL, and RLC DC transient circuits, and sinusoidal AC steady-state circuits. Power and energy analysis is performed throughout the course.",ECE 101L,Introduction to Electronic Circuits Laboratory,Illustrates topics covered in ECE 101 . One two-hour laboratory session per week.
137,CS 23 Discrete Mathematics,"Presents discrete mathematical systems including methods of proof that shape the foundations of computer science. Includes propositional logic, set and number theory, Boolean algebra, deductive and inductive proof, functions and relations, combinatorics, discrete probability, graph theory and network models, and efficiency of algorithms. Math majors should enroll in MATH 23 (identical to CS 23).",CSE 16,Applied Discrete Mathematics,"Introduction to applications of discrete mathematical systems. Topics include sets, functions, relations, graphs, predicate calculus, mathematical proof methods (induction, contraposition, contradiction), counting methods (permutations, combinations), and recurrences. Examples are drawn from computer science and computer engineering. Knowledge of computer programming is useful before taking this course. Students who do not have prior programming experience are strongly recommended to take CSE 20 or CSE 30 before taking this course."
138,MATH 23 Discrete Mathematics,"Presents discrete mathematical systems including methods of proof that shape the foundations of computer science. Includes propositional logic, set and number theory, Boolean algebra, deductive and inductive proof, functions and relations, combinatorics, discrete probability, graph theory and network models, and efficiency of algorithms. Math majors should enroll in MATH 23 (identical to CS 23).",CSE 16,Applied Discrete Mathematics,"Introduction to applications of discrete mathematical systems. Topics include sets, functions, relations, graphs, predicate calculus, mathematical proof methods (induction, contraposition, contradiction), counting methods (permutations, combinations), and recurrences. Examples are drawn from computer science and computer engineering. Knowledge of computer programming is useful before taking this course. Students who do not have prior programming experience are strongly recommended to take CSE 20 or CSE 30 before taking this course."
139,PHYS 4C Physics for Scientists and Engineers III,"Covers thermodynamics, optics, and introduction to modern physics for scientists and engineers. This is the third course in the calculus-based physics sequence. Spring semester and alternate summers.",PHYS 5B,Introduction to Physics II,"A continuation of PHYS 5A . Wave motion in matter, including sound waves. Geometrical optics, interference and polarization, statics and dynamics of fluids."
140,PHYS 4C Physics for Scientists and Engineers III,"Covers thermodynamics, optics, and introduction to modern physics for scientists and engineers. This is the third course in the calculus-based physics sequence. Spring semester and alternate summers.",PHYS 5D,Introduction to Physics IV,"Introduces temperature, heat, thermal conductivity, diffusion, ideal gases, laws of thermodynamics, heat engines, and kinetic theory. Introduces the special theory of relativity and the equivalence principle. Includes the photoelectric effect, the Compton effect, matter waves, atomic spectra, and the Bohr model."
141,PHYS 4C Physics for Scientists and Engineers III,"Covers thermodynamics, optics, and introduction to modern physics for scientists and engineers. This is the third course in the calculus-based physics sequence. Spring semester and alternate summers.",PHYS 5M,Introduction to Physics II Laboratory,Laboratory sequence illustrating topics covered in PHYS 5B. One three-hour laboratory session per week.
142,DANCE 7 Ballet I,"Introduces basic techniques and principles of ballet through barre, center floor work, and across-the-floor combinations while acquainting the student with the aesthetics, history, and tradition of classical ballet.",THEA 31B,Dance Studio I: Ballet,Introduces classical ballet as a form of ethnic dance. Focus on combining basic training in ballet technique with academic studies to achieve a synthesis in the understanding of dance as a performing arts practice in diverse socio-cultural and historical contexts. Emphasis on simple phrasing and articulation into more complex material requiring richer dynamic range. Attention to the anatomical principles that governs ballet mechanics.
143,DANCE 18A African Dance I,"Introduces African dances from various regions in Africa including their social, historical, and cultural significance.",THEA 37,African Dance,"A griot (musician-entertainer from western Africa) from Burkina Faso teaches The African Journey, which emphasizes dance as combined in Africa, including singing, history, oral tradition, and storytelling."
144,TA 27 Theatre Production Workshop,"Presents hands-on backstage preparation for the current Rehearsal and Performance or Musical Theatre Production stage production, including practical problem solving in scenery construction, lighting, props, costumes, make-up, sound, management, and public relations.",THEA 50,Fundamentals of Theater Production,"Work is on various aspects of theatrical production, including scenery, lighting, costumes, sound, stage management, and video documentation. Satisfies the department's technical experience"
145,"ETHN 3 Race, Ethnicity, and Society","Examines the social, economic, political, and cultural dynamics of race and ethnicity in the United States. Utilizes theory to assess the comparative histories, cultures, and intellectual traditions of Native Americans, African Americans, Latino/as, and Asian Americans. Introduces major concepts used to understand the lived experiences of historically racialized groups such as social construction of race, racial formation, critical race theory, internal colonialism, and intersectionality. Emphasizes the role of resistance and agency in advancing the goals of self-determination, decolonization, and equity.",CRES 10,Critical Race and Ethnic Studies: An Introduction,"Examines the concept of race, followed by an investigation of colorblindness, multiculturalism, and post-racialism. Race and ethnicity are examined as historically formulated in relationship to the concepts of gender, sexuality, class, nationalism, indigeneity, citizenship, immigration, and inequality."
146,ENGL 1BMC Composition and Literature: Multicultural Emphasis,"Introduces multicultural literature through reading, writing, and discussion to develop analytical skills. Students write a minimum of 6,000 words, focusing on literary interpretation and research. Not open to students who have completed ENGL 1B/1BH.",LIT 1,Literary Interpretation,"Close reading and analysis of literary texts, including representative examples of several different genres and periods. An introduction to practical criticism required of all literature majors; should be completed prior to upper-division work in literature."
147,ENGL 1BH Honors Composition and Literature,"Introduces literature through reading, writing, and discussion to develop critical and analytical skills. This honors course provides enhanced academic rigor with demands that exceed those of a standard version of the course. Honors section stresses rigorous literary scholarship. Students write a minimum of 8000 words, focusing on literary interpretation and research. Not open to students who have completed ENGL 1B/1BMC.",LIT 1,Literary Interpretation,"Close reading and analysis of literary texts, including representative examples of several different genres and periods. An introduction to practical criticism required of all literature majors; should be completed prior to upper-division work in literature."
148,ENGL 1B Composition and Literature,"Introduces literature through reading, writing, and discussion to develop critical and analytical skills. Students write a minimum of 6,000 words, focusing on literary interpretation and research.",LIT 1,Literary Interpretation,"Close reading and analysis of literary texts, including representative examples of several different genres and periods. An introduction to practical criticism required of all literature majors; should be completed prior to upper-division work in literature."
149,PSYCH 12 Introduction to Cognitive Psychology,"Provides an advanced consideration of mental processes, emphasizing perception, memory, problem-solving, decision-making, and the application of cognitive psychology to practical problems.",PSYC 20,Cognition: Fundamental Theories,"Introduces basic concepts in cognitive psychology with a focus on theoretical explanations of cognitive functioning. Topics include perception, attention, memory, concepts, language, visual cognition, executive functions, and reasoning processes. (Formerly course 20A.)"
150,PSYCH 8 Introduction to Developmental Psychology,"Explores the science of human development across the lifespan, from conception through death. Examines theories and research of physical, cognitive, personality, and social development.",PSYC 10,Introduction to Developmental Psychology,Addresses psychological development from conception through adolescence. Provides an overview of developmental psychology.
151,ECE 31 Child Growth and Development,"Examines the major social and emotional, cognitive/language, and physical developmental milestones for children from conception through adolescence with an emphasis on non-judgmental observation. Focuses on the interaction between maturational processes and environmental factors. Students will observe children, evaluate individual differences, and analyze characteristics of development at various stages according to developmental theories. Critical, analytical written work is the primary means of evaluation. May be offered in Spanish or in a Bilingual Format.",PSYC 10,Introduction to Developmental Psychology,Addresses psychological development from conception through adolescence. Provides an overview of developmental psychology.
152,PSYCH 2A Statistics for Behavioral Sciences,"Examines probability techniques, hypothesis testing, and predictive techniques to facilitate behavioral science research. Topics include: descriptive statistics; probability and sampling distributions; statistical inference and power; correlation and linear regression; chi-square; t-tests; and analysis of variance. Applies both hand-computation and statistical software to data in a social science context, including interpretation of the statistical findings.",PSYC 2,Introduction to Psychological Statistics,"An introduction to elementary statistical principles and techniques relevant to psychological research. Topics covered include basic parametric and nonparametric statistics, analysis of variance, and simple factorial designs. This course is"
153,MATH 12 Elementary Statistics,"This is an introduction to limits, differentiation, and integration of single and multivariate functions with applications in business, economics, and social sciences. Faculty Requirements Discipline 1 [Mathematics] FSA [FHDA FSA - MATHEMATICS] Course Family Not Applicable Course Justification This course is a major preparation in the discipline of various business-related majors for at least one CSU or UC. This course satisfies De Anza and Cal-GETC general education requirements. This course satisfies the mathematics proficiency requirement for the Liberal Arts A.A. degree. This course meets the needs of students in business-related majors who require a basic understanding of calculus and its applications to business without having to learn calculus at a more rigorous level. Foothill Equivalency Does the course have a Foothill equivalent? Yes Foothill Course ID MATH F012. Course Philosophy Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",PSYC 2,Introduction to Psychological Statistics,"An introduction to elementary statistical principles and techniques relevant to psychological research. Topics covered include basic parametric and nonparametric statistics, analysis of variance, and simple factorial designs. This course is"
154,BUS 9 Business Statistics,"Teaches the collection and presentation of data; measures of central tendency, dispersion, probability, sampling distributions, statistical inference, regression correlation, index numbers, time series analysis, and forecasting, Chi-Square Analysis. Applies both hand-computation and statistical software to data in a business context, including interpretation of the statistical findings.",PSYC 2,Introduction to Psychological Statistics,"An introduction to elementary statistical principles and techniques relevant to psychological research. Topics covered include basic parametric and nonparametric statistics, analysis of variance, and simple factorial designs. This course is"
155,PHILO 4 Introduction to Philosophy,"Introduces major philosophical problems including questions regarding the nature of reality, the possibility of knowledge, and the nature of self, with emphasis on politics and ethics focusing on primary texts.",PHIL 11,Introduction to Philosophy,"An introduction to the main areas of philosophy through critical reflection on and analysis of both classical and contemporary texts. Focuses on central and enduring problems in philosophy such as skepticism about the external world, the mind-body problem, and the nature of morality."
156,PSYCH 2B Research Methods in Psychology,"Surveys various research methods with an emphasis on research design, experimental procedures, descriptive methods, instrumentation, and the collection, analysis, interpretation, and reporting of research data. Research design and methodology are examined through a review of research in a variety of disciplines. In laboratory sessions students will conduct experimental and non-experimental research. Data collected during laboratory sessions will be analyzed with statistical software.",SOCY 3A,The Evaluation of Evidence,"Introduces students to major types of date and data analysis used in sociology. Designed to give students a foundation in understanding social science research articles, reports, and media reports used in political and policy debates. Topics include: general principles of research design, measurement, inductive and deductive modes of reasoning, experimental design, field work and ethnographic design, and reading and understanding basic quantitative forms of data and analysis."
157,MATH 12 Elementary Statistics,"This is an introduction to limits, differentiation, and integration of single and multivariate functions with applications in business, economics, and social sciences. Faculty Requirements Discipline 1 [Mathematics] FSA [FHDA FSA - MATHEMATICS] Course Family Not Applicable Course Justification This course is a major preparation in the discipline of various business-related majors for at least one CSU or UC. This course satisfies De Anza and Cal-GETC general education requirements. This course satisfies the mathematics proficiency requirement for the Liberal Arts A.A. degree. This course meets the needs of students in business-related majors who require a basic understanding of calculus and its applications to business without having to learn calculus at a more rigorous level. Foothill Equivalency Does the course have a Foothill equivalent? Yes Foothill Course ID MATH F012. Course Philosophy Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",SOCY 3B,Statistical Methods,"Introduces basic quantitative data analysis found in sociological research and policy reports. Topics include: inferential statistics, such as probability distributions, sampling, and testing; and descriptive statistics, such as measures of association, bivariate, and multivariate analysis. (Formerly course 103A.)"
158,BUS 9 Business Statistics,"Teaches the collection and presentation of data; measures of central tendency, dispersion, probability, sampling distributions, statistical inference, regression correlation, index numbers, time series analysis, and forecasting, Chi-Square Analysis. Applies both hand-computation and statistical software to data in a business context, including interpretation of the statistical findings.",SOCY 3B,Statistical Methods,"Introduces basic quantitative data analysis found in sociological research and policy reports. Topics include: inferential statistics, such as probability distributions, sampling, and testing; and descriptive statistics, such as measures of association, bivariate, and multivariate analysis. (Formerly course 103A.)"
159,MATH 12H Honors Elementary Statistics,"Presents the use of probability techniques, hypothesis testing, and predictive techniques to facilitate decision-making. Topics include descriptive statistics; probability and sampling distributions; statistical inference; correlation and linear regression; analysis of variance (ANOVA); chi-square and t-tests; and application of technology for statistical analysis including the interpretation of the relevance of statistical findings. This honors course provides enhanced academic rigor with demands that exceed those of a standard version of the course.",SOCY 3B,Statistical Methods,"Introduces basic quantitative data analysis found in sociological research and policy reports. Topics include: inferential statistics, such as probability distributions, sampling, and testing; and descriptive statistics, such as measures of association, bivariate, and multivariate analysis. (Formerly course 103A.)"
160,PSYCH 2A Statistics for Behavioral Sciences,"Examines probability techniques, hypothesis testing, and predictive techniques to facilitate behavioral science research. Topics include: descriptive statistics; probability and sampling distributions; statistical inference and power; correlation and linear regression; chi-square; t-tests; and analysis of variance. Applies both hand-computation and statistical software to data in a social science context, including interpretation of the statistical findings.",SOCY 3B,Statistical Methods,"Introduces basic quantitative data analysis found in sociological research and policy reports. Topics include: inferential statistics, such as probability distributions, sampling, and testing; and descriptive statistics, such as measures of association, bivariate, and multivariate analysis. (Formerly course 103A.)"
161,BIO 42T Advanced Biotechnology,"Presents a deeper understanding of the field of biotechnology and strengthens skills required to obtain employment in biotechnology. Topics include DNA, RNA, and protein technologies, bioinformatics, plant and agricultural technologies, mammalian cell culture, medical biotechnology, and emerging biotechnologies. This is a follow-up course to Biotechnology Fundamentals.",BME 5,Introduction to Biotechnology,"Introduces the tools and applications of biotechnology in the fields of medicine, agriculture, the environment, and industry."
162,BIO 41T Biotechnology Fundamentals,"Presents the field of biotechnology and teaches fundamental skills required to obtain employment in biotechnology. Topics include careers in biotechnology, basic laboratory skills and equipment use, DNA isolation and manipulation, DNA technology, keeping a notebook, safety, scientific literacy, and report writing.",BME 5,Introduction to Biotechnology,"Introduces the tools and applications of biotechnology in the fields of medicine, agriculture, the environment, and industry."
163,ENGR 35 Statics,"Analyzes force systems on rigid bodies in static equilibrium using two- and three-dimensional models and vector and scalar analysis methods. Topics include distributed force systems, friction, couples, moments; shear and bending moment diagrams; analysis of trusses, frames, and beams; centroids/center of mass; area and mass moment of inertia. Optional topics include cables, Mohr's circle, and virtual work.",ECE 9,Statics and Mechanics of Materials,"Theory and application of statics and mechanics of materials for mechanical and biomechanical systems. Covers statics of particles; equilibrium of rigid bodies; free-body diagrams; analysis of structure; friction; concepts of stress and strain; axial loading; torsion and bending; and failure criteria. (Formerly Introduction to Statics, Dynamics, and Biomechanics.)"
164,ENGR 36 Dynamics,"Analyzes motion of particles and rigid bodies. Topics include kinematics of particle motion; Newton's second law, work-energy and momentum methods; kinematics of planar motions of rigid bodies; work-energy and momentum principles for rigid body motion. Spring semester only.",ECE 10,Fundamentals of Robot Kinematics and Dynamics,"Covers the theory and application of mathematical models to analyze the kinematics and dynamics of robot mechanisms or their components using vector algebra, differential equations, and computer simulations; also covers robot vehicle kinematics, robot arm kinematics, and robot dynamics with computational examples and problems. Some basic programming skills and familiarity with MATLAB are expected. (Formerly CMPE 10.)"
165,"BIO 9A Molecular, Cellular, and Animal Biology","Covers principles and applications of cell biology, molecular biology, and animal biology. Examines principles and applications of prokaryotic and eukaryotic cell structure and function, biological molecules, homeostasis, cell reproduction and its controls, molecular genetics, classical/Mendelian genetics, cell metabolism, respiration, and cellular communication. Includes a survey of the form, function, and diversity of animals, and examines the basic principles governing the evolution of organisms. The philosophy of science, methods of scientific inquiry, and experimental design are foundational to this course. Students will conduct research projects, engage in hands-on laboratory experiments, and use specimens to explore the diversity of organisms.",BME 21L,Introduction to Basic Laboratory Techniques,"Laboratory course providing hands-on training in fundamental techniques used to express, isolate, and analyze genes in prokaryotic cells. Introduction to common laboratory instruments and fundamental skills required for basic research in molecular biology and biomolecular engineering."
